id,trip_id,route_id,direction_id,lat,lon,current_stop_sequence,timestamp,stop_id
VE_C21530,0002_3_498,10014,1,35.70939636230469,139.2910919189453,8,2024-12-30 19:43:05,1850_10
VE_A10905,0001_3_2230,10009,0,35.65726089477539,139.3442840576172,2,2024-12-30 19:43:04,390_12
VE_A11535,0001_3_847,10009,1,35.66654968261719,139.34103393554688,17,2024-12-30 19:43:52,360_10
VE_A10912,0001_3_799,10009,0,35.69744110107422,139.3248291015625,13,2024-12-30 19:43:37,1760_1
VE_C21530,0002_3_498,10014,1,35.70784378051758,139.29605102539062,8,2024-12-30 19:44:05,1850_10
VE_A10905,0001_3_2230,10009,0,35.657833099365234,139.34317016601562,2,2024-12-30 19:44:04,390_12
VE_A11535,0001_3_847,10009,1,35.66652297973633,139.3410186767578,18,2024-12-30 19:44:00,370_10
VE_A10912,0001_3_799,10009,0,35.697601318359375,139.3244171142578,14,2024-12-30 19:44:16,1770_1
VE_C21530,0002_3_498,10014,1,35.70685577392578,139.30062866210938,10,2024-12-30 19:45:54,1830_10
VE_A10905,0001_3_2230,10009,0,35.6567497253418,139.33926391601562,3,2024-12-30 19:45:46,381_1
VE_A11535,0001_3_847,10009,1,35.66283416748047,139.3396453857422,19,2024-12-30 19:45:23,381_10
VE_A10912,0001_3_799,10009,0,35.6988525390625,139.32083129882812,15,2024-12-30 19:45:00,1780_1
VE_C21530,0002_3_498,10014,1,35.70587158203125,139.3040771484375,11,2024-12-30 19:46:39,1810_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:46:31,10_4
VE_A10905,0001_3_2230,10009,0,35.65827560424805,139.33953857421875,3,2024-12-30 19:46:46,381_1
VE_A11535,0001_3_847,10009,1,35.66181182861328,139.33961486816406,19,2024-12-30 19:46:23,381_10
VE_A10912,0001_3_799,10009,0,35.702571868896484,139.3124542236328,17,2024-12-30 19:46:48,1800_1
VE_C21530,0002_3_498,10014,1,35.704376220703125,139.30899047851562,13,2024-12-30 19:47:57,1790_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:47:31,10_4
VE_A10905,0001_3_2230,10009,0,35.65948867797852,139.339599609375,3,2024-12-30 19:47:46,381_1
VE_A11535,0001_3_847,10009,1,35.65928268432617,139.3395233154297,20,2024-12-30 19:47:19,390_0
VE_A10912,0001_3_799,10009,0,35.705135345458984,139.3070068359375,19,2024-12-30 19:48:00,1830_1
VE_C21530,0002_3_498,10014,1,35.704376220703125,139.30899047851562,13,2024-12-30 19:47:57,1790_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:48:31,10_4
VE_A10905,0001_3_2230,10009,0,35.660255432128906,139.3395538330078,4,2024-12-30 19:48:32,370_1
VE_A11535,0001_3_847,10009,1,35.658050537109375,139.3394317626953,20,2024-12-30 19:48:19,390_0
VE_A10912,0001_3_799,10009,0,35.705135345458984,139.3070068359375,19,2024-12-30 19:48:00,1830_1
VE_C21530,0002_3_498,10014,1,35.700565338134766,139.3175506591797,15,2024-12-30 19:49:29,1770_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:49:31,10_4
VE_A10905,0001_3_2230,10009,0,35.66276931762695,139.33963012695312,4,2024-12-30 19:49:33,370_1
VE_A11535,0001_3_847,10009,1,35.65681457519531,139.3397979736328,21,2024-12-30 19:49:13,10_0
VE_A10912,0001_3_799,10009,0,35.70680618286133,139.3007354736328,21,2024-12-30 19:49:18,1850_0
VE_C21530,0002_3_498,10014,1,35.69868087768555,139.32118225097656,16,2024-12-30 19:50:09,1760_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:50:31,10_4
VE_A10905,0001_3_2230,10009,0,35.6636962890625,139.3399658203125,5,2024-12-30 19:50:17,360_2
VE_C21530,0002_3_498,10014,1,35.6973762512207,139.3251495361328,16,2024-12-30 19:51:09,1760_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:51:31,10_4
VE_A10905,0001_3_2230,10009,0,35.666282653808594,139.3408966064453,6,2024-12-30 19:50:45,927_1
VE_C21530,0002_3_498,10014,1,35.69736862182617,139.3251495361328,17,2024-12-30 19:51:54,1750_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:52:31,10_4
VE_A10905,0001_3_2230,10009,0,35.667205810546875,139.34112548828125,6,2024-12-30 19:51:45,927_1
VE_C21530,0002_3_498,10014,1,35.69385528564453,139.33157348632812,19,2024-12-30 19:53:27,930_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:53:31,10_4
VE_A10905,0001_3_2230,10009,0,35.667205810546875,139.34112548828125,6,2024-12-30 19:52:45,927_1
VE_C21530,0002_3_498,10014,1,35.692039489746094,139.33444213867188,19,2024-12-30 19:54:27,930_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:54:31,10_4
VE_A10905,0001_3_2230,10009,0,35.680538177490234,139.33917236328125,6,2024-12-30 19:53:45,927_1
VE_C21530,0002_3_498,10014,1,35.69189453125,139.33480834960938,20,2024-12-30 19:54:43,931_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:55:32,10_4
VE_A10905,0001_3_2230,10009,0,35.683082580566406,139.3390655517578,7,2024-12-30 19:55:07,928_1
VE_C21530,0002_3_498,10014,1,35.68992233276367,139.33302307128906,20,2024-12-30 19:56:43,931_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:56:32,10_4
VE_A10905,0001_3_2230,10009,0,35.68650817871094,139.33984375,8,2024-12-30 19:56:41,929_1
VE_C21530,0002_3_498,10014,1,35.68912506103516,139.33462524414062,21,2024-12-30 19:57:28,929_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:57:32,10_4
VE_A10905,0001_3_2230,10009,0,35.68791198730469,139.3368377685547,9,2024-12-30 19:57:34,931_1
VE_C21530,0002_3_498,10014,1,35.68764114379883,139.3375244140625,22,2024-12-30 19:58:11,928_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:58:32,10_4
VE_A10905,0001_3_2230,10009,0,35.689308166503906,139.33399963378906,10,2024-12-30 19:58:09,930_1
VE_C21530,0002_3_498,10014,1,35.68567657470703,139.340576171875,23,2024-12-30 19:59:42,927_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 19:59:32,10_4
VE_A10905,0001_3_2230,10009,0,35.69141387939453,139.33383178710938,10,2024-12-30 19:59:09,930_1
VE_C21530,0002_3_498,10014,1,35.68319320678711,139.33934020996094,24,2024-12-30 20:00:30,360_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 20:00:32,10_4
VE_A10905,0001_3_2230,10009,0,35.69401168823242,139.33131408691406,12,2024-12-30 20:00:33,1750_1
VE_C21530,0002_3_498,10014,1,35.68149948120117,139.3389434814453,24,2024-12-30 20:01:30,360_10
VE_A10911,0001_3_801,10009,0,35.657508850097656,139.3439483642578,1,2024-12-30 20:01:32,10_4
VE_A10905,0001_3_2230,10009,0,35.69541549682617,139.3289337158203,13,2024-12-30 20:01:15,1760_1
VE_C21530,0002_3_498,10014,1,35.68149948120117,139.3389434814453,24,2024-12-30 20:02:30,360_10
